SciFi_Movies.Name,SciFi_Movies.Duration,SciFi_Movies.Rating,SciFi_Movies.Release_date,SciFi_Movies.Plot,SciFi_Movies.Budget,Movie_Staff.StaffID,Movie_Staff.Name,Movie_Staff.JobTitle,Movie_Staff.AvgSalary,Movie_Staff.DOB,Movie_Staff.Email,Movie_Staff.phone,Characters.FilmID,Characters.CharID,Characters.Name,Characters.Appearance,Characters.Background,Characters.ActorID,Works_On.FilmID,Works_On.StaffID,Segments.FilmID,Segments.Number,Segments.Duration,Segments.Setting,Segments.Discription,Part_In.FilmID,Part_In.SegmentNum,Part_In.CharID
20000 Leagues Under the Sea,95,5,1954-12-23,Expert marine biologist investigates ship sinkings encountering Captain Nemo and his submarine.,5000000,4,Rachel Gomez,Actor,92826,1959-04-24,lhunt@example.com,'079453576580',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5 Global Swarming,93,3.9,2017-08-06,Fin and April face deadly Sharknadoes spawned by a category seven hurricane on their way to New York City.,5000000,5,Lauren Arnold,Actor,95528,1960-12-18,jonathan85@example.net,'078301558171',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
A Wrinkle in Time,251,5.6,2018-02-26,Siblings aided by witches search for their scientist father captured by the omnipotent villain It.,100000000,20,Allison Vazquez,Actor,108546,1966-04-04,hillsummer@example.net,'070640427526',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Anaconda 3 Offspring,91,2.8,2008-07-26,Mercenary hired to capture a snake with potential to cure illness.,45000000,24,Parker Hill,Actor,89035,1965-11-21,bradleytravis@example.com,'075426455128',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Anacondas Trail of Blood,89,2.9,2009-02-28,Genetically engineered Anaconda regenerates into two giant snakes due to Blood Orchid.,20000000,25,Richard Ferguson,Actor,99885,1962-10-20,jacksonerica@example.com,'074690575100',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Another Day,90,5.6,2001-10-26,Woman experiences time loop waking up before her boyfriends fatal fire after a drowning accident.,80000000,30,Christine Herrera,Actor,82036,1996-05-27,hilljulia@example.org,'074359269553',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Aquaman,42,7,2018-12-21,Teenager wins automated dream house but must calm controlling computer PAT when it goes awry.,160000000,31,Charles Haney,Actor,100901,2002-03-21,tiffanyhall@example.net,'071774616883',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Attack of the 50 Ft. Woman,89,3.9,1993-12-11,Horror anthology includes stories of a serial killer botched hair transplant and cursed baseball player.,88000,33,Riley Salinas,Actor,87880,1977-10-09,aolson@example.com,'076617260129',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Battlestar Galactica Razor,101,7.6,2007-11-24,Battlestar Pegasus special details events preceding its encounter with Galactica.,3000000,36,Morgan Jordan,Actor,91809,1982-02-22,summer76@example.net,'070032707925',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Ben 10 Alien Swarm,69,4.6,2009-11-25,Chewbacca and Han Solo face Imperial blockade en route to Kashyyyk for Life Day celebration,40000000,43,Joseph Walker,Actor,106646,1997-12-11,davisjonathan@example.org,'071420687577',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
